"","time","betalow","beta","betahigh"
"1",1,2.93352618449261e-05,3.06172737806522e-05,3.19536327088162e-05
"2",2,2.93352618449261e-05,3.06172737806522e-05,3.19536327088162e-05
"3",3,2.3715241289864e-05,2.48180457994297e-05,2.59707334234799e-05
"4",4,2.3715241289864e-05,2.48180457994297e-05,2.59707334234799e-05
"5",5,2.09936162063333e-05,2.19662261045285e-05,2.29827698990774e-05
"6",6,2.09936162063333e-05,2.19662261045285e-05,2.29827698990774e-05
"7",7,2.51869305466604e-05,2.63539659386953e-05,2.75736749489766e-05
"8",8,2.51869305466604e-05,2.63539659386953e-05,2.75736749489766e-05
"9",9,2.0099456882696e-05,2.10551990996297e-05,2.20551948079846e-05
"10",10,2.0099456882696e-05,2.10551990996297e-05,2.20551948079846e-05
"11",11,2.07871148340524e-05,2.17353404158773e-05,2.27256746122552e-05
"12",12,2.07871148340524e-05,2.17353404158773e-05,2.27256746122552e-05
"13",13,2.13928131391235e-05,2.23511866753294e-05,2.33512000144112e-05
"14",14,2.13928131391235e-05,2.23511866753294e-05,2.33512000144112e-05
"15",15,2.11423122313827e-05,2.20813971487303e-05,2.30607530298769e-05
"16",16,2.11423122313827e-05,2.20813971487303e-05,2.30607530298769e-05
"17",17,2.15508118330062e-05,2.25042304723782e-05,2.34983026120833e-05
"18",18,2.15508118330062e-05,2.25042304723782e-05,2.34983026120833e-05
"19",19,2.27840603771749e-05,2.37780472159762e-05,2.48136631168964e-05
"20",20,2.27840603771749e-05,2.37780472159762e-05,2.48136631168964e-05
"21",21,2.36539442354854e-05,2.4680056893068e-05,2.57490834671243e-05
"22",22,2.36539442354854e-05,2.4680056893068e-05,2.57490834671243e-05
"23",23,2.52764994438295e-05,2.63813898564767e-05,2.75329931139922e-05
"24",24,2.52764994438295e-05,2.63813898564767e-05,2.75329931139922e-05
"25",25,2.5448905520837e-05,2.65849469008719e-05,2.77700251011358e-05
"26",26,2.5448905520837e-05,2.65849469008719e-05,2.77700251011358e-05
"27",27,2.29259874874379e-05,2.39613703649082e-05,2.50420455485699e-05
"28",28,2.29259874874379e-05,2.39613703649082e-05,2.50420455485699e-05
"29",29,2.13338151622283e-05,2.22950005538368e-05,2.32980343899762e-05
"30",30,2.13338151622283e-05,2.22950005538368e-05,2.32980343899762e-05
"31",31,1.77306671729561e-05,1.85416973307568e-05,1.93882355427828e-05
"32",32,1.77306671729561e-05,1.85416973307568e-05,1.93882355427828e-05
"33",33,1.99015629780006e-05,2.07903464767725e-05,2.17166029315967e-05
"34",34,1.99015629780006e-05,2.07903464767725e-05,2.17166029315967e-05
"35",35,1.86973460147674e-05,1.9551136898292e-05,2.04411237072976e-05
"36",36,1.86973460147674e-05,1.9551136898292e-05,2.04411237072976e-05
"37",37,2.42683803490369e-05,2.53361975529172e-05,2.64483801137775e-05
"38",38,2.42683803490369e-05,2.53361975529172e-05,2.64483801137775e-05
"39",39,1.8922476846367e-05,1.98044720615226e-05,2.07250085368617e-05
"40",40,1.8922476846367e-05,1.98044720615226e-05,2.07250085368617e-05
"41",41,1.62928957664736e-05,1.70957198399936e-05,1.79347655382059e-05
"42",42,1.62928957664736e-05,1.70957198399936e-05,1.79347655382059e-05
"43",43,2.18594242185383e-05,2.289281702778e-05,2.39706628273839e-05
"44",44,2.18594242185383e-05,2.289281702778e-05,2.39706628273839e-05
"45",45,1.91461955164779e-05,2.00571368760802e-05,2.10076984809011e-05
"46",46,1.91461955164779e-05,2.00571368760802e-05,2.10076984809011e-05
"47",47,2.03828413158898e-05,2.1328947726619e-05,2.2315309662079e-05
"48",48,2.03828413158898e-05,2.1328947726619e-05,2.2315309662079e-05
"49",49,2.25017317746053e-05,2.34935011142127e-05,2.45262858605674e-05
"50",50,2.25017317746053e-05,2.34935011142127e-05,2.45262858605674e-05
"51",51,2.87809340182277e-05,2.99912844355054e-05,3.1250653850461e-05
"52",52,2.87809340182277e-05,2.99912844355054e-05,3.1250653850461e-05
