,time,betalow,beta,betahigh
1,1,0.000472922,0.000398317,0.00053271
2,2,0.000472922,0.000398317,0.00053271
3,3,0.00040731,0.00038617,0.000459016
4,4,0.00040731,0.00038617,0.000459016
5,5,0.000437889,0.00038617,0.000493758
6,6,0.000437889,0.00038617,0.000493758
7,7,0.00051123,0.00038617,0.000575512
8,8,0.00051123,0.00038617,0.000575512
9,9,0.000438136,0.00038617,0.000494137
10,10,0.000438136,0.00038617,0.000494137
11,11,0.000425649,0.00038617,0.000479418
12,12,0.000425649,0.00038617,0.000479418
13,13,0.000422683,0.00038617,0.000476669
14,14,0.000422683,0.00038617,0.000476669
15,15,0.000403136,0.000398317,0.00045481
16,16,0.000403136,0.000398317,0.00045481
17,17,0.000493082,0.00038617,0.00055514
18,18,0.000493082,0.00038617,0.00055514
19,19,0.000431789,0.00038617,0.000486305
20,20,0.000431789,0.00038617,0.000486305
21,21,0.000400406,0.00038617,0.000451008
22,22,0.000400406,0.00038617,0.000451008
23,23,0.000428628,0.00038617,0.000482426
24,24,0.000428628,0.00038617,0.000482426
25,25,0.000409693,0.00038617,0.00046156
26,26,0.000409693,0.00038617,0.00046156
27,27,0.000434214,0.00038617,0.000490013
28,28,0.000434214,0.00038617,0.000490013
29,29,0.000508684,0.000398317,0.000573106
30,30,0.000508684,0.000398317,0.000573106
31,31,0.000462152,0.000398317,0.00052123
32,32,0.000462152,0.000398317,0.00052123
33,33,0.000481472,0.000398317,0.000543254
34,34,0.000481472,0.000398317,0.000543254
35,35,0.000492843,0.000398317,0.000556599
36,36,0.000492843,0.000398317,0.000556599
37,37,0.000509875,0.000398317,0.000576048
38,38,0.000509875,0.000398317,0.000576048
39,39,0.000523885,0.00038617,0.000592458
40,40,0.000523885,0.00038617,0.000592458
41,41,0.000527063,0.00038617,0.000595895
42,42,0.000527063,0.00038617,0.000595895
43,43,0.000412745,0.00038617,0.000466706
44,44,0.000412745,0.00038617,0.000466706
45,45,0.000439878,0.000398317,0.000495584
46,46,0.000439878,0.000398317,0.000495584
47,47,0.000529718,0.00038617,0.000596574
48,48,0.000529718,0.00038617,0.000596574
49,49,0.000499886,0.00038617,0.000564856
50,50,0.000499886,0.00038617,0.000564856
51,51,0.0004591,0.000398317,0.000518829
52,52,0.0004591,0.000398317,0.000518829
